scenario_description,selenium_script
navigation_menu: link #nav-contact | navigate to section,"driver.find_element(By.ID, 'nav-contact').click()
WebDriverWait(driver, 5).until(EC.url_changes(driver.current_url))
assert 'contact' in driver.current_url"
"ecommerce_search: field #query, button #find-btn | search specific product","driver.find_element(By.ID, 'query').send_keys('produit test')
driver.find_element(By.ID, 'find-btn').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_login: field #username, field #user-pass, button #signup | invalid credentials","driver.find_element(By.ID, 'username').send_keys('wrong@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('wrongpassword')
driver.find_element(By.ID, 'signup').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"auth_login: field #user, field #pwd, button #login-btn | invalid credentials","driver.find_element(By.ID, 'user').send_keys('wrong@test.com')
driver.find_element(By.ID, 'pwd').send_keys('wrongpassword')
driver.find_element(By.ID, 'login-btn').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"auth_register: field #username, field #user-pass, button #register-btn | valid registration","driver.find_element(By.ID, 'username').send_keys('newuser@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('TestPass123!')
driver.find_element(By.ID, 'register-btn').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"auth_login: field #user, field #pwd, button #sign-in | invalid credentials","driver.find_element(By.ID, 'user').send_keys('wrong@test.com')
driver.find_element(By.ID, 'pwd').send_keys('wrongpassword')
driver.find_element(By.ID, 'sign-in').click()
error_msg = WebDriverWait(driver, 5).until(EC.visibility_of_element_located((By.CLASS_NAME, 'error-message')))
assert error_msg.is_displayed()"
"auth_login: field #username, field #pass-input, button #connect | valid credentials","driver.find_element(By.ID, 'username').send_keys('user@test.com')
driver.find_element(By.ID, 'pass-input').send_keys('Password123!')
driver.find_element(By.ID, 'connect').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
"auth_register: field #user, field #user-pass, button #signup | valid registration","driver.find_element(By.ID, 'user').send_keys('newuser@test.com')
driver.find_element(By.ID, 'user-pass').send_keys('TestPass123!')
driver.find_element(By.ID, 'signup').click()
WebDriverWait(driver, 10).until(EC.url_contains('verify'))
assert 'verify' in driver.current_url"
"ecommerce_search: field #search-bar, button #find-btn | search specific product","driver.find_element(By.ID, 'search-bar').send_keys('produit test')
driver.find_element(By.ID, 'find-btn').click()
WebDriverWait(driver, 10).until(EC.presence_of_element_located((By.CLASS_NAME, 'product-list')))
assert len(driver.find_elements(By.CLASS_NAME, 'product-item')) > 0"
"auth_login: field #identifier, field #pass-input, button #signup | valid credentials","driver.find_element(By.ID, 'identifier').send_keys('user@test.com')
driver.find_element(By.ID, 'pass-input').send_keys('Password123!')
driver.find_element(By.ID, 'signup').click()
WebDriverWait(driver, 10).until(EC.url_contains('dashboard'))
assert 'dashboard' in driver.current_url"
